,,,
Referrer,Count,Label,Types
P2843,28321,Benezit ID'@en,"Wikidata property related to encyclopedias'@en,'Wikidata property for authority control for artists'@en"
P6184,28286,reference has role'@en,Wikidata property to indicate a source'@en
P3406,28258,Saccharomyces Genome Database ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to biology'@en"
P3901,27835,ADAGP artist ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property related to art'@en,'Wikidata property for authority control for artists'@en,'Wikidata property related to copyright'@en"
P9152,27266,CollectieGelderland creator ID'@en,Wikidata property for authority control for artists'@en
P2253,26992,DfE URN'@en,"Wikidata property to identify organizations'@en,'Wikidata property related to education'@en"
P7571,25956,Memorial Book Bundesarchiv ID'@en,"Wikidata property for authority control for victims of National Socialism'@en,'Wikidata property for authority control for people'@en"
P2605,24749,ČSFD person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for identification in the film industry'@en"
P1258,24578,Rotten Tomatoes ID'@en,"Wikidata property to identify television shows and episodes'@en,'Wikidata property for authority control for people'@en,'Wikidata property for identification in the film industry'@en,'Wikidata property to identify films'@en"
P5019,24551,Brockhaus Enzyklopädie online ID'@en,Wikidata property related to encyclopedias'@en
P2639,24548,Filmportal ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for identification in the film industry'@en,'Wikidata property to identify films'@en"
P4432,23899,AKL Online artist ID'@en,"Wikidata property for authority control for artists'@en,'Wikidata property for an identifier that suggests notability'@en"
P9789,23705,Yale Center for British Art artwork Lido ID'@en,Wikidata property to identify artworks'@en
P699,23582,Disease Ontology ID'@en,"Wikidata property to identify disease'@en,'Wikidata property for authority control'@en,'Wikidata property related to medicine'@en"
P1819,23422,genealogics.org person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to genealogy'@en,'Wikidata property for an identifier that does not imply notability'@en"
P3782,22788,Artnet artist ID'@en,"Wikidata property for authority control for artists'@en,'Wikidata property related to auctions'@en"
P1315,22422,NLA Trove people ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for authority control (libraries)'@en"
P3865,22386,type of reference'@en,Wikidata property to indicate a source'@en
P1146,21861,World Athletics athlete ID'@en,"Wikidata property for authority control for athletics competitors'@en,'Wikidata property for an identifier that suggests notability'@en"
P950,21760,Biblioteca Nacional de España ID'@en,Wikidata property for authority control by VIAF member'@en
P791,21658,ISIL'@en,"Wikidata property to identify libraries'@en,'Wikidata property for a multi-source identifier'@en,'Wikidata property for an international standard identifier'@en"
P1284,21623,Munzinger person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property related to encyclopedias'@en"
P3029,21160,UK National Archives ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property related to archives'@en"
P6985,21094,OYO Hotel ID'@en,"Wikidata property for authority control for hotels'@en,'Wikidata property related to e-commerce'@en"
P651,20980,Biografisch Portaal van Nederland ID'@en,Wikidata property for authority control for people'@en
P2014,20806,Museum of Modern Art work ID'@en,"Wikidata property related to New York City'@en,'Wikidata property for authority control, with reciprocal use of Wikidata'@en,'Wikidata property to identify artworks'@en"
P6039,20745,Australian Faunal Directory ID'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to animals and zoology'@en"
P9905,20395,relevant date for copyright'@en,Wikidata property related to copyright'@en
