Multiple value no Qualified Claims (filtered-claims-without-quals-counted-label) - Contagem de predicaos para o conjunto filtrado de múltiplos valores SEM qualificação,,,,,,,,,,,,,,
Predicate,Count,Label,Frequency,,Accumulated Freq,,,,,,,,,
P7937,6261,form of creative work'@en,"0,02",,,,,,,,,,347324,
P1549,6054,demonym'@en,"0,01",,,,,,,,,,29404,
P1684,6024,inscription'@en,"0,01",,,,,,,,,,44978,
P7782,6021,category for ship name'@en,"0,01",,,,,,,,,,30691,
P2283,5993,uses'@en,"0,01",,,,,,,,,,24164,
P6569,5934,taxon especially protected in area'@en,"0,01",,,,,,,,,,6206,
P2541,5897,operating area'@en,"0,01",,,,,,,,,,18168,
P1071,5871,location of creation'@en,"0,01",,,,,,,,,,83499,
P2975,5867,host'@en,"0,01",,,,,,,,,,7420,
P2650,5863,interested in'@en,"0,01",,,,,,,,,,15095,
P2176,5852,drug or therapy used for treatment'@en,"0,01",,,,,,,,,,6993,
P2563,5847,superhuman feature or ability'@en,"0,01",,,,,,,,,,7170,
P585,5817,point in time'@en,"0,01",,,,,,,,,,867493,
P154,5809,logo image'@en,"0,01",,,,,,,,,,107942,
P1457,5768,absolute magnitude'@en,"0,01",,,,,,,,,,51470,
P2670,5744,has part(s) of the class'@en,"0,01",,,,,,,,,,39166,
P144,5737,based on'@en,"0,01",,,,,,,,,,53413,
P1449,5712,nickname'@en,"0,01",,,,,,,,,,36082,
P1329,5674,phone number'@en,"0,01",,,,,,,,,,141813,
P373,5671,Commons category'@en,"0,01",,,,,,,,,,3534429,
P1346,5647,winner'@en,"0,01",,,,,,,,,,248636,
P360,5538,is a list of'@en,"0,01",,,,,,,,,,249892,
P1082,5517,population'@en,"0,01",,,,,,,,,,2362056,
P2348,5502,time period'@en,"0,01",,,,,,,,,,171645,
P2175,5407,medical condition treated'@en,"0,01",,,,,,,,,,6971,
P953,5356,full work available at URL'@en,"0,01",,,,,,,,,,1142434,
P479,5240,input method'@en,"0,01",,,,,,,,,,15270,
P1257,5225,depicts Iconclass notation'@en,"0,01",,,,,,,,,,16002,
P1040,5184,film editor'@en,"0,01",,,,,,,,,,53600,
P3321,5009,male form of label'@en,"0,01",,,,,,,,,,14871,
P3880,4901,Caverphone'@en,"0,01",,,,,,,,,,246109,
P3602,4847,candidacy in election'@en,"0,01",,,,,,,,,,159703,
P4296,4841,stellar rotational velocity'@en,"0,01",,,,,,,,,,34815,
P1389,4763,product certification'@en,"0,01",,,,,,,,,,8988,
P1110,4727,attendance'@en,"0,01",,,,,,,,,,26079,
P825,4716,dedicated to'@en,"0,01",,,,,,,,,,51062,
P178,4706,developer'@en,"0,01",,,,,,,,,,46378,
P449,4662,original broadcaster'@en,"0,01",,,,,,,,,,96348,
P1445,4490,fictional universe described in'@en,"0,01",,,,,,,,,,4740,
P1317,4382,floruit'@en,"0,01",,,,,,,,,,51673,
P395,4296,licence plate code'@en,"0,01",,,,,,,,,,73740,
P286,4293,head coach'@en,"0,01",,,,,,,,,,54110,
P4224,4268,category contains'@en,"0,01",,,,,,,,,,831015,
P5519,4213,Cangjie input'@en,"0,01",,,,,,,,,,69627,
P3179,4206,territory overlaps'@en,"0,01",,,,,,,,,,8532,
P2559,4204,Wikidata usage instructions'@en,"0,01",,,,,,,,,,4695,
P2048,4162,height'@en,"0,01",,,,,,,,,,889872,
P598,4142,commander of (DEPRECATED)'@en,"0,01",,,,,,,,,,9974,
P1327,4129,partner in business or sport'@en,"0,01",,,,,,,,,,17816,
P706,4053,located in/on physical feature'@en,"0,01",,,,,,,,,,80488,
P2043,3952,length'@en,"0,01",,,,,,,,,,263736,
P1454,3944,legal form'@en,"0,01",,,,,,,,,,233681,
P945,3930,allegiance'@en,"0,01",,,,,,,,,,61317,
P1382,3876,partially coincident with'@en,"0,01",,,,,,,,,,18261,
P3342,3865,significant person'@en,"0,01",,,,,,,,,,16414,
P870,3838,instrumentation'@en,"0,01",,,,,,,,,,8034,
P2817,3799,appears in the heritage monument list'@en,"0,01",,,,,,,,,,270764,
P1073,3723,writable file format'@en,"0,01",,,,,,,,,,4516,
P509,3680,cause of death'@en,"0,01",,,,,,,,,,116224,
P277,3668,programming language'@en,"0,01",,,,,,,,,,12289,
P1302,3650,primary destinations'@en,"0,01",,,,,,,,,,3940,
P22,3617,father'@en,"0,01",,,,,,,,,,958162,
P103,3534,native language'@en,"0,01",,,,,,,,,,288996,
P689,3530,afflicts'@en,"0,01",,,,,,,,,,4208,
P6709,3493,Løøv classification'@en,"0,01",,,,,,,,,,9051,
